CustomerID,State,Location Code,Education,Gender,Coverage,EmploymentStatus,Income,Marital Status,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Renew Offer Type,Vehicle Class,Customer Lifetime Value,Vehicle Size,Policy,Policy Type,Sales Channel,Total Claim Amount,Months Since Last Claim,Months Since Policy Inception,Response
BU79786,Washington,Suburban,Bachelor,F,Basic,Employed,56274,Married,69,0,1,Offer1,Two-Door Car,2763.519279,Medsize,Corporate L3,Corporate Auto,Agent,384.811147,32,5,No
QZ44356,Arizona,Suburban,Bachelor,F,Extended,Unemployed,0,Single,94,0,8,Offer3,Four-Door Car,6979.535903,Medsize,Personal L3,Personal Auto,Agent,1131.464935,13,42,No
AI49188,Nevada,Suburban,Bachelor,F,Premium,Employed,48767,Married,108,0,2,Offer1,Two-Door Car,12887.43165,Medsize,Personal L3,Personal Auto,Agent,566.472247,18,38,No
WW63253,California,Suburban,Bachelor,M,Basic,Unemployed,0,Married,106,0,7,Offer1,SUV,7645.861827,Medsize,Corporate L2,Corporate Auto,Call Center,529.881344,18,65,No
HB64268,Washington,Rural,Bachelor,M,Basic,Employed,43836,Single,73,0,1,Offer1,Four-Door Car,2813.692575,Medsize,Personal L1,Personal Auto,Agent,138.130879,12,44,No
OC83172,Oregon,Rural,Bachelor,F,Basic,Employed,62902,Married,69,0,2,Offer2,Two-Door Car,8256.2978,Medsize,Personal L3,Personal Auto,Web,159.383042,14,94,Yes
XZ87318,Oregon,Suburban,College,F,Basic,Employed,55350,Married,67,0,9,Offer1,Four-Door Car,5380.898636,Medsize,Corporate L3,Corporate Auto,Agent,321.6,0,13,Yes
CF85061,Arizona,Urban,Master,M,Premium,Unemployed,0,Single,101,0,4,Offer1,Four-Door Car,7216.100311,Medsize,Corporate L3,Corporate Auto,Agent,363.02968,0,68,No
DY87989,Oregon,Suburban,Bachelor,M,Basic,Medical Leave,14072,Divorced,71,0,2,Offer1,Four-Door Car,24127.50402,Medsize,Corporate L3,Corporate Auto,Agent,511.2,13,3,Yes
BQ94931,Oregon,Urban,College,F,Extended,Employed,28812,Married,93,0,8,Offer2,Four-Door Car,7388.178085,Medsize,Special L2,Special Auto,Branch,425.527834,17,7,No
